slug,published,title,original_title,url,gif,thumbnail,tag[],origin,origin_link_url,type
/2020/12/14/hug,2020-12-14T06:42:34Z,Published GIF “Hug”,Hug,https://gifs.cackhanded.net/ted-lasso/all-apologies/hug,https://gifs.cackhanded.net/ted-lasso/all-apologies/hug.gif,https://gifs.cackhanded.net/ted-lasso/all-apologies/hug.tn.gif,rebecca-welton:ted-lasso:ted-lasso:all-apologies,gifs,https://gifs.cackhanded.net/ted-lasso/all-apologies/hug,gif
/2020/12/15/never-mind-that-now,2020-12-15T06:15:04Z,Published GIF “Never mind that now”,Never mind that now,https://gifs.cackhanded.net/larry-miller/5-levels-of-drinking/never-mind-that-now,https://gifs.cackhanded.net/larry-miller/5-levels-of-drinking/never-mind-that-now.gif,https://gifs.cackhanded.net/larry-miller/5-levels-of-drinking/never-mind-that-now.tn.gif,larry-miller:larry-miller:5-levels-of-drinking,gifs,https://gifs.cackhanded.net/larry-miller/5-levels-of-drinking/never-mind-that-now,gif
/2020/12/16/no-studying,2020-12-16T06:40:46Z,Published GIF “No studying”,No studying,https://gifs.cackhanded.net/ghostbusters/no-studying,https://gifs.cackhanded.net/ghostbusters/no-studying.gif,https://gifs.cackhanded.net/ghostbusters/no-studying.tn.gif,peter-venkman:ray-stantz:ghostbusters,gifs,https://gifs.cackhanded.net/ghostbusters/no-studying,gif
/2020/12/17/rum-and-a-coke,2020-12-17T05:49:55Z,Published GIF “Rum and a Coke”,Rum and a Coke,https://gifs.cackhanded.net/larry-miller/5-levels-of-drinking/rum-and-a-coke,https://gifs.cackhanded.net/larry-miller/5-levels-of-drinking/rum-and-a-coke.gif,https://gifs.cackhanded.net/larry-miller/5-levels-of-drinking/rum-and-a-coke.tn.gif,larry-miller:larry-miller:5-levels-of-drinking,gifs,https://gifs.cackhanded.net/larry-miller/5-levels-of-drinking/rum-and-a-coke,gif
/2021/02/19/backing-away,2021-02-19T07:00:00Z,Published GIF “Backing away”,Backing away,https://gifs.cackhanded.net/ghostbusters/backing-away,https://gifs.cackhanded.net/ghostbusters/backing-away.gif,https://gifs.cackhanded.net/ghostbusters/backing-away.tn.gif,egon-spengler:peter-venkman:ray-stantz:winston-zeddemore:ghostbusters,gifs,https://gifs.cackhanded.net/ghostbusters/backing-away,gif
/2021/02/20/its-moving,2021-02-20T07:00:00Z,Published GIF “It’s moving”,It’s moving,https://gifs.cackhanded.net/ghostbusters/its-moving,https://gifs.cackhanded.net/ghostbusters/its-moving.gif,https://gifs.cackhanded.net/ghostbusters/its-moving.tn.gif,alice:egon-spengler:library-administrator:peter-venkman:ray-stantz:ghostbusters,gifs,https://gifs.cackhanded.net/ghostbusters/its-moving,gif
/2021/02/21/light-is-green-trap-is-clean,2021-02-21T07:00:00Z,"Published GIF “Light is green, trap is clean”","Light is green, trap is clean",https://gifs.cackhanded.net/ghostbusters/light-is-green-trap-is-clean,https://gifs.cackhanded.net/ghostbusters/light-is-green-trap-is-clean.gif,https://gifs.cackhanded.net/ghostbusters/light-is-green-trap-is-clean.tn.gif,containment-unit:ray-stantz:winston-zeddemore:ghostbusters,gifs,https://gifs.cackhanded.net/ghostbusters/light-is-green-trap-is-clean,gif
/2021/02/22/actual-physical-contact,2021-02-22T07:00:00Z,Published GIF “Actual physical contact”,Actual physical contact,https://gifs.cackhanded.net/ghostbusters/actual-physical-contact,https://gifs.cackhanded.net/ghostbusters/actual-physical-contact.gif,https://gifs.cackhanded.net/ghostbusters/actual-physical-contact.tn.gif,peter-venkman:ray-stantz:ghostbusters,gifs,https://gifs.cackhanded.net/ghostbusters/actual-physical-contact,gif
/2021/02/23/theres-something-you-dont-see-every-day,2021-02-23T07:00:00Z,Published GIF “There’s something you don’t see every day”,There’s something you don’t see every day,https://gifs.cackhanded.net/ghostbusters/theres-something-you-dont-see-every-day,https://gifs.cackhanded.net/ghostbusters/theres-something-you-dont-see-every-day.gif,https://gifs.cackhanded.net/ghostbusters/theres-something-you-dont-see-every-day.tn.gif,peter-venkman:ghostbusters,gifs,https://gifs.cackhanded.net/ghostbusters/theres-something-you-dont-see-every-day,gif
/2021/02/24/going,2021-02-24T07:00:00Z,Published GIF “I’m going”,I’m going,https://gifs.cackhanded.net/larry-miller/5-levels-of-drinking/going,https://gifs.cackhanded.net/larry-miller/5-levels-of-drinking/going.gif,https://gifs.cackhanded.net/larry-miller/5-levels-of-drinking/going.tn.gif,larry-miller:larry-miller:5-levels-of-drinking,gifs,https://gifs.cackhanded.net/larry-miller/5-levels-of-drinking/going,gif
/2021/02/25/work-hard-on-machines,2021-02-25T07:00:00Z,Published GIF “I know what it means to work hard on machines”,I know what it means to work hard on machines,https://gifs.cackhanded.net/thompson-twins/work-hard-on-machines,https://gifs.cackhanded.net/thompson-twins/work-hard-on-machines.gif,https://gifs.cackhanded.net/thompson-twins/work-hard-on-machines.tn.gif,thompson-twins:tom-bailey:thompson-twins,gifs,https://gifs.cackhanded.net/thompson-twins/work-hard-on-machines,gif
